frame	seconds	events	node_changes	network_moves	cohort_moves	tx_started	tx_ended
175	2.8	0	0	0	0	0	0
176	2.816	0	0	0	0	0	0
177	2.832	0	0	0	0	0	0
178	2.848	0	0	0	0	0	0
179	2.864	0	0	0	0	0	0
180	2.88	0	0	0	0	0	0
181	2.896	0	0	0	0	0	0
182	2.912	0	0	0	0	0	0
183	2.928	0	0	0	0	0	0
184	2.944	0	0	0	0	0	0
185	2.96	0	0	0	0	0	0
186	2.976	0	0	0	0	0	0
187	2.992	0	0	0	0	0	0
188	3.008	39	10	0	12	0	0
189	3.024	0	0	0	0	0	0
190	3.04	0	0	0	0	0	0
191	3.056	0	0	0	0	0	0
192	3.072	0	0	0	0	0	0
193	3.088	0	0	0	0	0	0
194	3.104	0	0	0	0	0	0
195	3.12	0	0	0	0	0	0
196	3.136	0	0	0	0	0	0
197	3.152	0	0	0	0	0	0
198	3.168	0	0	0	0	0	0
199	3.184	0	0	0	0	0	0
200	3.2	0	0	0	0	0	0
201	3.216	0	0	0	0	0	0
202	3.232	0	0	0	0	0	0
203	3.248	0	0	0	0	0	0
204	3.264	0	0	0	0	0	0
205	3.28	0	0	0	0	0	0
206	3.296	0	0	0	0	0	0
207	3.312	0	0	0	0	0	0
208	3.328	0	0	0	0	0	0
209	3.344	0	0	0	0	0	0
210	3.36	0	0	0	0	0	0
211	3.376	0	0	0	0	0	0
212	3.392	0	0	0	0	0	0
213	3.408	0	0	0	0	0	0
214	3.424	0	0	0	0	0	0
215	3.44	0	0	0	0	0	0
216	3.456	0	0	0	0	0	0
217	3.472	0	0	0	0	0	0
218	3.488	0	0	0	0	0	0
219	3.504	37	9	0	12	2	0
220	3.52	6	2	0	2	0	2
221	3.536	0	0	0	0	0	0
222	3.552	0	0	0	0	0	0
223	3.568	0	0	0	0	0	0
224	3.584	0	0	0	0	0	0
225	3.6	0	0	0	0	0	0
226	3.616	0	0	0	0	0	0
227	3.632	0	0	0	0	0	0
228	3.648	0	0	0	0	0	0
229	3.664	0	0	0	0	0	0
230	3.68	0	0	0	0	0	0
231	3.696	0	0	0	0	0	0
232	3.712	0	0	0	0	0	0
233	3.728	0	0	0	0	0	0
234	3.744	0	0	0	0	0	0
235	3.76	0	0	0	0	0	0
236	3.776	0	0	0	0	0	0
237	3.792	0	0	0	0	0	0
238	3.808	0	0	0	0	0	0
239	3.824	0	0	0	0	0	0
240	3.84	0	0	0	0	0	0
241	3.856	0	0	0	0	0	0
242	3.872	0	0	0	0	0	0
243	3.888	0	0	0	0	0	0
244	3.904	0	0	0	0	0	0
245	3.92	0	0	0	0	0	0
246	3.936	0	0	0	0	0	0
247	3.952	0	0	0	0	0	0
248	3.968	0	0	0	0	0	0
249	3.984	0	0	0	0	0	0
250	4	12	1	0	4	8	0
251	4.016	8	3	0	12	0	8
252	4.032	0	0	0	0	0	0
253	4.048	0	0	0	0	0	0
254	4.064	0	0	0	0	0	0
255	4.08	0	0	0	0	0	0
256	4.096	0	0	0	0	0	0
257	4.112	0	0	0	0	0	0
258	4.128	0	0	0	0	0	0
259	4.144	0	0	0	0	0	0
260	4.16	0	0	0	0	0	0
261	4.176	0	0	0	0	0	0
262	4.192	0	0	0	0	0	0
263	4.208	0	0	0	0	0	0
264	4.224	0	0	0	0	0	0
265	4.24	0	0	0	0	0	0
266	4.256	0	0	0	0	0	0
267	4.272	0	0	0	0	0	0
268	4.288	0	0	0	0	0	0
269	4.304	0	0	0	0	0	0
270	4.32	0	0	0	0	0	0
271	4.336	0	0	0	0	0	0
272	4.352	0	0	0	0	0	0
273	4.368	0	0	0	0	0	0
274	4.384	0	0	0	0	0	0
275	4.4	0	0	0	0	0	0
276	4.416	0	0	0	0	0	0
277	4.432	0	0	0	0	0	0
278	4.448	0	0	0	0	0	0
279	4.464	0	0	0	0	0	0
280	4.48	0	0	0	0	0	0
281	4.496	0	0	0	0	0	0
282	4.512	10	2	0	12	0	0
283	4.528	0	0	0	0	0	0
284	4.544	0	0	0	0	0	0
285	4.56	0	0	0	0	0	0
286	4.576	0	0	0	0	0	0
287	4.592	0	0	0	0	0	0
288	4.608	0	0	0	0	0	0
289	4.624	0	0	0	0	0	0
290	4.64	0	0	0	0	0	0
291	4.656	0	0	0	0	0	0
292	4.672	0	0	0	0	0	0
293	4.688	0	0	0	0	0	0
