frame	seconds	events	node_changes	network_moves	cohort_moves	tx_started	tx_ended
175	2.8	35	3	0	1	12	21
176	2.816	35	6	0	6	13	16
177	2.832	9	0	0	0	2	6
178	2.848	31	4	0	2	10	17
179	2.864	6	0	0	0	1	4
180	2.88	19	3	0	12	11	6
181	2.896	13	1	0	2	5	7
182	2.912	31	4	0	3	16	13
183	2.928	19	2	0	1	8	10
184	2.944	26	2	0	0	6	19
185	2.96	46	7	0	4	17	26
186	2.976	16	2	0	1	7	5
187	2.992	27	4	0	6	10	14
188	3.008	96	6	0	5	79	15
189	3.024	22	1	0	1	7	15
190	3.04	84	9	0	92	45	35
191	3.056	62	7	0	128	33	29
192	3.072	56	8	0	6	32	20
193	3.088	75	13	0	6	34	29
194	3.104	60	6	0	166	27	31
195	3.12	91	14	0	130	47	37
196	3.136	84	14	0	93	45	33
197	3.152	70	8	0	20	33	36
198	3.168	79	10	0	163	33	39
199	3.184	90	10	0	91	35	49
200	3.2	80	11	0	82	33	34
201	3.216	41	4	0	76	11	25
202	3.232	90	13	0	133	31	49
203	3.248	51	6	0	4	24	25
204	3.264	52	7	0	83	21	24
205	3.28	51	8	0	6	28	20
206	3.296	29	3	0	2	12	17
207	3.312	64	8	0	3	27	30
208	3.328	36	5	0	32	14	15
209	3.344	66	10	0	81	34	29
210	3.36	33	4	0	2	15	17
211	3.376	24	2	0	3	8	16
212	3.392	32	5	0	172	18	12
213	3.408	37	5	0	129	19	17
214	3.424	51	7	0	107	27	23
215	3.44	26	3	0	2	11	14
216	3.456	30	3	0	49	11	18
217	3.472	56	8	0	5	27	27
218	3.488	32	5	0	4	13	16
219	3.504	42	4	0	4	26	14
220	3.52	38	5	0	81	19	18
221	3.536	56	6	0	4	32	24
222	3.552	64	8	0	103	35	27
223	3.568	60	7	0	3	25	33
224	3.584	58	9	0	92	22	31
225	3.6	51	6	0	5	22	27
226	3.616	42	4	0	2	15	26
227	3.632	95	12	0	14	58	32
228	3.648	47	5	0	2	23	23
229	3.664	81	10	0	138	32	44
230	3.68	44	4	0	145	9	31
231	3.696	60	7	0	5	23	29
232	3.712	21	2	0	2	8	13
233	3.728	42	6	0	5	16	18
234	3.744	32	4	0	4	14	16
235	3.76	26	2	0	4	6	18
236	3.776	50	8	0	10	27	18
237	3.792	47	7	0	8	24	19
238	3.808	35	5	0	153	18	15
239	3.824	32	3	0	2	10	20
240	3.84	45	5	0	88	24	18
241	3.856	43	6	0	2	20	22
242	3.872	50	7	0	4	23	23
243	3.888	34	4	0	2	15	18
244	3.904	28	4	0	90	16	12
245	3.92	41	5	0	3	13	25
246	3.936	20	2	0	1	7	12
247	3.952	14	2	0	1	3	10
248	3.968	10	1	0	0	4	6
249	3.984	21	3	0	1	10	9
250	4	17	2	0	0	11	5
251	4.016	25	4	0	92	13	9
252	4.032	17	2	0	1	11	5
253	4.048	30	4	0	4	18	12
254	4.064	20	3	0	3	10	9
255	4.08	28	4	0	148	10	15
256	4.096	35	4	0	1	15	19
257	4.112	33	5	0	196	13	17
258	4.128	30	4	0	1	18	10
259	4.144	31	2	0	0	10	20
260	4.16	44	7	0	3	24	16
261	4.176	27	3	0	0	12	15
262	4.192	37	5	0	97	17	17
263	4.208	34	4	0	0	14	18
264	4.224	15	0	0	0	3	12
265	4.24	33	5	0	115	13	16
266	4.256	26	3	0	1	11	14
267	4.272	33	6	0	4	15	9
268	4.288	19	2	0	5	7	12
269	4.304	37	6	0	200	18	16
270	4.32	10	1	0	1	2	6
271	4.336	59	8	0	137	27	28
272	4.352	12	2	0	2	2	7
273	4.368	26	2	0	102	12	14
274	4.384	44	6	0	104	17	22
275	4.4	10	1	0	1	8	2
276	4.416	28	3	0	3	15	12
277	4.432	27	3	0	105	12	12
278	4.448	29	4	0	6	12	13
279	4.464	41	6	0	5	16	17
280	4.48	12	1	0	1	3	8
281	4.496	26	3	0	108	7	18
282	4.512	28	4	0	2	16	11
283	4.528	20	4	0	4	13	5
284	4.544	5	1	0	0	0	5
285	4.56	40	5	0	4	21	16
286	4.576	13	2	0	1	3	9
287	4.592	14	1	0	0	4	10
288	4.608	20	2	0	153	4	15
289	4.624	16	2	0	162	8	8
290	4.64	4	0	0	0	0	4
291	4.656	15	1	0	110	7	7
292	4.672	15	2	0	2	8	7
293	4.688	14	2	0	109	7	6
294	4.704	2	0	0	0	0	2
295	4.72	27	3	0	113	14	12
296	4.736	11	2	0	113	7	3
297	4.752	19	2	0	121	8	11
298	4.768	8	1	0	1	1	4
299	4.784	14	3	0	3	4	9
300	4.8	29	4	0	117	18	10
